#,identifier,typ,DEC (rad),RA (rad),plx (mas),Mag V (mag)
419,HD 136504,bC*,-0.7799809263,4.025955949,6.37,3.366
420,HD 44766,*,0.5184859864,1.679352335,3.4386,6.697
421,HD 114922,HB*,-0.7479117794,3.465938786,6.694,6.71
422,HD 222618,*,0.999374725,6.204250068,3.6751,6.220
423,HD 15385,Pe*,0.4096117652,0.6511301466,11.6961,6.190
424,HD 20176,*,-0.5201802041,0.8448808405,8.3224,6.162
425,HD 74753,bC?,-0.8695719171,2.284946733,1.7815,5.16
426,HD 117203,*,0.543656648,3.52692887,3.1478,6.90
427,HD 38670,**,0.3642412302,1.520062704,7.3863,6.021
428,HD 28595,LP?,0.2636326416,1.18298347,5.7071,6.303
429,HD 212150,*,1.334967834,5.839612468,3.2222,6.630
430,HD 123977,PM*,1.035637304,3.703446596,7.3232,6.471
431,HD 197036,*,0.7970382514,5.407839231,2.4923,6.607
432,HD 56941,*,0.7444861194,1.924450837,3.5579,6.320
433,HD 130807,**,-0.7605335074,3.890506374,8.07,4.313
434,HD 60503,*,0.07748418407,1.985275807,1.7305,6.79
435,HD 31726,*,-0.2483938143,1.299156525,2.6599,6.139
436,HD 178637,*,0.1971094463,5.013313004,6.5122,6.65
437,HD 88655,*,-0.3436407669,2.674788392,2.8354,6.86
438,HD 199251,V*,0.5892930812,5.475805325,1.0561,6.93
439,HD 37981,*,0.2474614968,1.496479882,8.8204,6.717
440,HD 37018,Y*O,-0.08444513682,1.46339783,6.5163,4.59
441,HD 134505,PM*,-0.9093034277,3.980593916,28.7616,3.41
442,HD 46687,C*,0.6710006498,1.730263941,2.0387,5.25
443,HD 28776,*,-0.6222711457,1.181030098,8.6398,5.950
444,HD 212643,*,-0.4133366656,5.873811353,7.8086,6.276
445,HD 64491,dS*,0.6180678895,2.075547534,15.3792,6.221
446,HD 155102,PM*,0.7071385434,4.484526961,6.5652,6.360
447,HD 6811B,*,0.8245237269,0.3032620543,~,5.62
448,HD 16895,PM*,0.8591985123,0.7164566846,89.6850,4.11
449,HD 215093,*,0.004046332955,5.946423432,7.4867,6.974
450,HD 12477,*,-1.153078974,0.5222263377,7.1633,6.078
451,HD 58552,*,0.1851457086,1.948062805,11.4841,6.377
452,HD 36553,PM*,-0.8216600749,1.440585962,23.0172,5.453
453,HD 157097,*,-0.6496253142,4.550564167,8.9463,5.914
454,HD 86322,PM*,1.304792267,2.626670927,5.8177,6.894
455,HD 221615,LP?,0.392677801,6.16741856,5.8449,5.42
456,HD 91355,*,-0.7865626085,2.757433797,3.9659,5.668
457,HD 26702,*,0.6552432352,1.112070526,7.8795,6.308
458,HD 127665,PM*,0.5300815667,3.804075228,19.8550,3.59
459,HD 172923,*,1.108857701,4.879956299,6.2633,6.84
460,HD 80081B,**,0.6423173311,2.438405786,24.3529,6.09
461,HD 150379,*,0.07342954121,4.365879343,9.9941,6.93
462,HD 122909,*,1.198669003,3.673238101,4.0543,6.329
463,HD 105036,LP*,-0.1020299698,3.165957578,2.9904,6.70
464,HD 211718,PM*,0.3484050449,5.841547548,7.2511,6.860
465,HD 190275,SB*,0.6599577365,5.248104039,4.8574,6.912
466,HD 22166,*,-1.082243589,0.9201157364,20.4324,6.79
467,HD 197937,PM*,-0.7677438798,5.447547312,26.1721,5.10
468,HD 118998,*,-0.7940171135,3.584952139,6.6011,6.88
469,HD 169223,*,0.2912604818,4.812958484,6.2792,6.220
470,HD 145842,PM*,-0.8267977202,4.255353991,8.9049,5.124
471,HD 142542,*,-0.554768279,4.172357252,18.8882,6.284
472,HD 70652,V*,-0.1316523132,2.194322078,2.5849,5.918
473,HD 77327,**,0.8230366203,2.372013545,9.10,3.55
474,HD 44691,SB*,0.9823602482,1.686121621,12.4161,5.54
475,HD 8673A,PM*,0.6035296764,0.375884752,26.2036,6.34
476,HD 4089,SB*,-1.142632671,0.1853228329,23.6721,5.381
477,HD 145532,*,0.8758212883,4.228739867,5.2733,6.85
478,HD 83425,PM*,0.08114546669,2.523985247,10.3358,4.68
479,HD 175744,a2*,0.3140778966,4.957011386,3.1585,6.63
480,HD 71830,*,-0.01675604857,2.223151127,2.7199,6.69
481,HD 145502A,SB*,-0.3396531258,4.241130727,7.0568,4.349
482,HD 110423,PM*,0.1187978598,3.324642588,12.2199,5.573
483,HD 37617,*,0.5919967973,1.48899085,5.7302,6.92
484,HD 106887A,PM*,0.505049275,3.217992541,18.9966,5.70
485,HD 218753,*,1.035550809,6.063865699,1.19,5.679
486,HD 138289,PM*,-1.359925741,4.098498295,9.0832,6.181
487,HD 134657A,*,-1.070637005,3.988018335,~,6.73
488,HD 201567,PM*,-0.1632593857,5.544833923,9.1009,6.267
489,HD 34656,Em*,0.653427977,1.399396355,1.0432,6.76
490,HD 44816,LP*,-0.1723465478,1.673764792,1.3719,6.134
491,HD 31532,**,-1.188039545,1.271237586,17.9233,6.82
492,HD 100456,*,0.04361631961,3.02642611,2.787,6.48
493,HD 193194,**,-0.6036272327,5.32430868,16.08,6.63
494,HD 83069,SB*,0.5438753061,2.516390461,4.5921,5.56
495,HD 199223,**,0.07911091198,5.478928726,7.06,6.05
496,HD 61831,*,-0.6686011392,2.004753439,5.1576,4.84
497,HD 18622,PM*,-0.7034493287,0.777811534,19.9047,3.18
498,HD 2760,*,-0.1760112081,0.1352552024,7.3897,6.883
499,HD 26546,PM*,0.3015485649,1.101837608,8.5316,6.087
500,RX J1724.2+6957,X,1.220797249,4.556554291,~,4.89
501,HD 77912,Pe*,0.6711177379,2.384684652,4.6253,4.539
502,HD 155500,*,0.1377895876,4.50187601,8.8327,6.333
503,HD 64225,PM*,-0.8815565033,2.052494318,13.6692,5.907
504,HD 84561,*,0.2061241393,2.558603764,4.4601,5.644
505,HD 175726,PM*,0.07444053649,4.959438328,37.6151,6.71
506,HD 128582,PM*,-0.8130524927,3.836149797,29.4102,6.07
507,HD 64648,*,0.3470406926,2.075479693,6.4022,5.365
508,HD 106677,RS*,1.266257259,3.210059805,6.7059,6.29
509,HD 123657,LP?,0.7654045857,3.699789339,6.0110,5.28
510,HD 33684,LP*,-1.106533158,1.342014704,5.6282,5.205
511,HD 125158,PM*,-1.069415135,3.751839952,21.1588,5.23
512,HD 22382,PM*,-1.064945326,0.9287738138,7.2739,6.421
513,HD 82734,*,-0.3685388961,2.50109026,8.8125,5.003
514,HD 132883,PM*,-0.05522664328,3.933924398,10.3029,6.69
515,HD 116287,*,0.5286940473,3.500481769,3.3489,6.79
516,HD 186063,*,1.298132001,5.127648433,3.4787,6.98
517,HD 57758,*,-0.4920292105,1.926296474,4.436,6.99
518,HD 138085,PM*,0.2861575132,4.054408291,7.3845,6.382
519,HD 88806,V*,-0.4156317743,2.679732008,3.0717,6.357
520,HD 212691,PM*,0.894583674,5.868915161,2.9547,6.518
521,HD 50711,*,-0.4308242809,1.803658378,11.4754,6.520
522,HD 40745,gD*,-0.2251480612,1.572080631,16.3311,6.195
523,HD 55964,PM*,-0.9800983861,1.884624715,8.5837,6.67
524,HD 4088,PM*,-1.051784391,0.1863102438,14.4141,5.98
525,HD 135592,cC*,-1.160574833,4.013218287,1.5432,6.39
526,HD 66552,*,0.3288552813,2.115142983,8.2402,6.210
527,HD 25293,SB*,0.8524337506,1.061896024,8.1749,6.96
528,HD 87855,PM*,-0.1331820594,2.65185557,3.3751,6.66
529,HD 180939,SB*,0.3916730427,5.051273203,2.7975,6.85
530,HD 118741,**,0.885140961,3.567956788,2.30,6.450
531,HD 137785,EB*,-0.6743085303,4.054928555,16.5905,6.43
532,HD 194640,PM*,-0.5387455381,5.357014926,51.7989,6.62
533,HD 19978,PM*,1.356727559,0.8740997528,12.6416,5.444
534,HD 201636,PM*,1.246720062,5.525661647,19.7556,5.877
535,HD 75374,*,0.1224308086,2.311743719,11.388,6.68
536,HD 83087,PM*,-0.3959449911,2.510701892,9.4638,7.00
537,HD 209977,V*,0.2053845897,5.79031537,2.7114,6.86
538,HD 216446,PM*,1.451308097,5.966776687,10.3313,4.78
539,HD 39881,PM*,0.2430356094,1.553592694,36.4474,6.600
540,HD 49131,Be*,-0.5401616093,1.769413979,1.65,5.68
541,HD 156208,EB?,0.03815643798,4.52143981,4.6496,6.18
542,HD 164577,**,0.02277803162,4.720039158,12.0799,4.429
543,HD 222060,PM*,-1.341626629,6.188929255,6.0864,5.983
544,HD 178484,RG*,-0.03991897668,5.012894463,4.9588,6.587
545,HD 22017,*,0.2405485226,0.930928993,9.0586,6.900
546,HD 10132,*,0.7272216904,0.4361974828,5.5618,6.85
547,HD 152293,*,-0.7413966121,4.426368981,2.7362,5.839
548,HD 63210A,*,0.3200372376,2.043679465,~,6.89
549,HD 225289,a2*,1.070130656,0.0222639203,4.7337,5.791
550,HD 186133,*,-0.7262163851,5.168191044,4.349,6.83
551,HD 90882,PM*,-0.04780589085,2.746617581,9.4160,5.180
552,HD 157841,*,-0.114874712,4.563996735,5.2096,6.96
553,HD 39286,*,0.3467593502,1.537591901,2.5631,5.985
554,HD 7014,Pu*,0.04268506966,0.3078726651,4.1948,5.942
555,HD 17039,PM*,-0.1380988806,0.7152624495,12.0758,6.55
556,HD 149059,*,0.1643119508,4.328158815,12.0793,6.50
557,HD 172211,*,-1.126634906,4.90272714,8.507,5.757
558,HD 100055,*,0.8515386812,3.015802123,5.9683,6.524
559,HD 70574,PM*,-0.1078466309,2.192581776,13.9491,6.140
560,HD 159797,PM*,0.3463390643,4.606754755,7.0123,6.52
561,HD 160748,V*,-0.5768537789,4.638711605,2.2216,6.45
562,HD 15005,PM*,-0.06794248403,0.632411667,5.7675,6.889
563,HD 25175,*,0.301883649,1.049880096,5.4279,6.305
564,HD 61987,*,-0.4877384445,2.010284285,1.9667,6.743
565,HD 171975,*,0.1993429044,4.874749575,4.0793,6.560
566,HD 13423,PM*,-0.7647260409,0.5675818683,7.7344,6.322
567,HD 150493,*,0.02173695421,4.368903444,4.3834,6.395
568,HD 38058,*,1.110009294,1.516417687,6.6654,6.49
569,HD 171406,Be*,0.539169025,4.858053888,2.7433,6.534
570,HD 33555,RG*,-0.03934171998,1.356849817,20.2532,6.236
571,HD 42352,*,0.2384026395,1.61787362,1.3442,6.918
572,HD 172816,LP*,-0.3365729579,4.899655516,4.0602,6.35
573,HD 56955,*,-0.3898948679,1.912028461,1.3079,6.68
574,HD 28102,*,-0.1732524369,1.159357803,2.6801,6.65
575,HD 82265,*,0.2244292349,2.492924996,5.8953,6.90
576,HD 129685,*,-0.6142132805,3.861482912,14.2784,4.924
577,HD 131826,PM*,0.2169577895,3.907253136,9.0811,6.780
578,HD 214923,PM*,0.1890429522,5.940498687,15.96,3.41
579,HD 24834,V*,-0.2373217508,1.031756047,2.1036,6.38
580,HD 30557,PM*,0.8506850857,1.270404907,8.7227,5.643
581,HD 34004,*,1.251657652,1.399047182,7.35,6.570
582,* chi Aql,**,0.2064128295,5.159921092,3.82,5.310
583,HD 121325A,PM*,-0.1406533739,3.643244066,28.9235,6.62
584,HD 102627,*,0.2815642202,3.09373054,7.6566,6.840
585,HD 146745,**,-0.6194328589,4.272943463,7.6215,6.62
586,HD 131473A,*,0.274107153,3.898145621,~,6.82
587,HD 25705,LP*,-1.084884146,1.051110551,7.0247,4.50
588,HD 187730,SB*,0.3527559251,5.195632291,4.7845,6.72
589,HD 131530,PM*,-0.2076653896,3.902474331,9.867,5.788
590,HD 58425,*,1.194950954,1.967325291,6.9858,5.643
591,HD 218525,*,0.777750975,6.057195461,5.0720,6.513
592,HD 5621,**,1.476668666,0.2777830725,7.2504,6.73
593,HD 128402,*,0.40579534,3.822770853,7.3498,6.370
594,HD 1089,PM*,-0.6091936111,0.06532343589,5.4262,6.159
595,HD 151579,*,-0.5524207274,4.405009407,5.3162,6.83
596,HD 136947,*,-0.9260359787,4.039335274,16.6909,6.71
597,HD 151217,V*,0.1497948644,4.38876799,7.6142,5.15
598,HD 207958,PM*,-0.2365229803,5.730335573,37.3377,5.08
599,HD 10530,PM*,-0.1511367014,0.4473864357,5.4955,6.970
600,HD 38604,*,0.6899917577,1.522204818,5.212,6.800
601,HD 166023,*,-0.5363164097,4.756444996,7.9533,5.65
602,HD 214080,V*,-0.2860243674,5.917134182,0.6415,6.93
603,HD 155078,PM*,-0.1836662282,4.493346531,23.9838,5.430
604,HD 127167,*,0.01446757293,3.795401547,13.3027,5.966
605,HD 57821,*,-0.3319023038,1.929572704,5.4657,4.950
606,HD 73190,*,1.277043473,2.281383956,4.4474,6.94
607,HD 156293,*,-0.7702093743,4.532607591,8.9434,5.736
608,HD 105274,PM*,-1.128909864,3.173296687,16.8792,6.84
609,HD 112987,*,1.232147025,3.399433429,4.4473,7.00
610,HD 172171,Mi*,0.1541843554,4.879732046,5.1425,6.40
611,HD 139915,*,-1.052210458,4.118633542,1.4089,6.475
612,HD 175592,PM*,0.2510644875,4.954583142,18.8742,6.61
613,HD 194093,V*,0.7026115972,5.33297729,1.78,2.23
614,HD 119637,*,0.7944785877,3.592894927,4.9278,6.69
615,HD 42341,*,-0.2545496058,1.612576888,14.937,5.555
616,HD 188548,*,-0.5335509136,5.222106286,11.3484,6.56
617,HD 82635,RS*,0.6352572279,2.505520632,17.0738,4.60
618,HD 82232,PM*,-0.2718761039,2.488729185,14.866,5.849
619,HD 35528,*,-0.651648087,1.412180439,6.0307,6.803
620,HD 78949,*,-0.9353817428,2.394986559,0.5734,6.81
621,HD 59717,SB*,-0.7557526185,1.960138023,17.0234,3.25
622,HD 94366,SB*,-0.6194007483,2.849344617,1.8401,6.782
623,HD 130870,*,0.431453851,3.883085059,6.7683,6.77
624,HD 30614,s*b,1.157898131,1.283035995,0.5916,4.29
625,HD 198031,*,-0.3361555912,5.44642232,11.5394,6.80
626,HD 14412,PM*,-0.4528376677,0.6063931797,77.9140,6.34
627,HD 150453,PM*,-0.3477457001,4.371591836,32.4133,5.559
628,HD 43843,SB*,-0.1173800759,1.649951961,7.7138,6.79
629,HD 109387,Be*,1.218034547,3.287687134,7.0093,3.89
630,HD 38831,*,1.029117486,1.537144519,6.235,6.132
631,HD 91106A,*,-0.1333003847,2.753167056,3.8416,6.32
632,HD 36734,*,-0.8015480102,1.446878114,5.6968,5.844
633,HD 137709,*,-0.8156395738,4.055292147,1.5186,5.222
634,HD 16046,*,-0.4927472477,0.6712755559,6.7146,4.96
635,HD 126241,*,-1.148804459,3.783516508,2.9092,5.828
636,HD 4778,a2*,0.7854376056,0.2194944477,9.6184,6.15
637,HD 155885,PM*,-0.4643069033,4.517565426,168.1303,5.03
638,HD 4391,EB*,-0.8299386879,0.1996651522,66.4509,5.794
639,HD 153914,**,0.1474919429,4.459241806,8.25,6.39
640,HD 7724,*,0.5540481145,0.3377293527,10.7265,6.360
641,HD 69280,*,-0.6228854057,2.159605118,4.4127,6.80
642,HD 77570,PM*,0.8870424562,2.379374881,18.7392,6.780
643,HD 102365,PM*,-0.7068645811,3.082765788,107.3024,4.88
644,HD 99062,*,-0.6298755209,2.98360594,4.2242,6.98
645,HD 198529,*,-0.5790648791,5.462790518,6.5022,6.055
646,HD 154319,*,1.207527803,4.446413351,11.6543,6.410
647,HD 186837,*,-1.065717558,5.193936731,3.8093,6.206
648,HD 71196,PM*,-0.3673212311,2.204860026,28.9972,5.987
649,HD 45563,*,0.03338253499,1.694188745,6.1241,6.450
650,HD 23055,*,-0.341812069,0.9659226458,8.4736,6.578
651,HD 113902,*,-0.9330488962,3.43671944,10.3001,5.698
652,HD 51814,RG*,0.06287296813,1.828015998,4.2776,5.947
653,HD 201892,*,0.2056259914,5.551038235,2.3582,6.97
654,KPS 0343-204,*,0.6937107818,2.114902721,~,6.89
655,HD 173638,*,-0.1767153689,4.91625247,0.8564,5.717
656,HD 60922,**,-0.4110023513,1.989266136,2.9108,6.78
657,HD 29094,SB*,0.7202072329,1.20729024,3.6003,4.26
658,HD 143101,PM*,-0.9525641115,4.193623881,7.8879,6.124
659,HD 83548,Pe*,-0.7538241112,2.52210632,6.5023,5.50
660,HD 166114,*,-0.7218527334,4.760790074,12.3631,5.845
661,HD 18552,Be*,0.6655240899,0.7862625456,4.4630,6.11
662,HD 42937,PM*,1.214209436,1.656301732,8.6945,6.76
663,HD 108309,PM*,-0.8536962883,3.258540021,37.2211,6.26
664,HD 180575,*,-0.9001117275,5.05981299,6.9348,6.572
665,HD 63399,*,-0.6296031023,2.038733209,7.3283,6.45
666,HD 73029,PM*,1.046134754,2.265297589,8.4251,6.470
667,HD 89528,PM*,-0.6041716526,2.70168121,5.3211,6.72
668,HD 100382,*,-1.168704292,3.020873763,9.8731,5.881
669,HD 201933,PM*,-1.028515206,5.564495774,5.6704,6.93
670,HD 162917,PM*,0.1064899176,4.682877327,32.256,5.759
671,HD 195481,**,0.2758951928,5.371695444,5.92,6.844
672,HD 159047,*,-1.373449425,4.640129535,3.1808,7.00
673,HD 83951,PM*,0.6124948876,2.542562113,18.9353,6.14
674,HD 11022,PM*,-0.7288481643,0.4680902798,5.2171,6.165
675,HD 16743,PM*,-0.9238866658,0.694318349,17.2992,6.77
676,HD 213080,LP?,-0.7635679146,5.889426894,9.1556,4.11
677,HD 17713,PM*,-0.4286583043,0.7411076521,8.9169,6.146
678,HD 39354,*,1.214824265,1.562572088,9.2812,6.99
679,HD 203638,PM*,-0.363933785,5.603204536,12.7846,5.366
680,HD 50196,PM*,-0.793259236,1.788795441,5.5804,6.55
681,HD 83944,V*,-1.070376392,2.527892076,14.4791,4.498
682,HD 73262,**,0.09954987629,2.258700942,18.4301,4.131
683,HD 172910A,Y*O,-0.6220700495,4.905783133,6.8441,4.87
684,HD 107192,gD*,1.530655822,3.208516667,20.6685,6.259
685,HD 114038,*,-0.1874554949,3.437848686,11.1498,5.151
686,HD 103246,**,1.28728622,3.114182287,17.19,6.77
687,HD 71405,*,-0.9662900444,2.202094713,3.9349,6.79
688,HD 25371,*,-0.5321632523,1.050154177,9.4176,5.919
689,HD 147700,PM*,-0.3497172082,4.293959218,16.8204,4.50
690,HD 178954,*,-0.1155734392,5.022058589,9.8308,6.85
691,HD 63028,*,-0.4233480783,2.032716238,1.5115,6.721
692,HD 27962A,a2*,0.3129009966,1.158417546,21.0865,4.298
693,HD 151011,S*,-0.3340024502,4.38733443,2.5399,6.64
694,HD 10438,*,0.7047179054,0.4477541028,3.0409,6.70
695,HD 193335,*,-0.342908097,5.325323943,5.6374,6.93
696,HD 223226,PM*,-1.161821257,6.230546919,21.4351,6.72
697,HD 193716,*,-0.6174521855,5.336368243,16.1182,7.00
698,HD 47667,*,-0.2468901199,1.7421818,3.1086,4.812
699,HD 188853,Er*,0.8297469591,5.214549144,6.5032,6.71
700,HD 171115,*,-0.4194424476,4.860268278,1.7715,5.461
701,HD 120997,*,0.2919762671,3.632660567,2.9852,6.647
702,HD 21997,PM*,-0.4470512526,0.9245625011,14.3501,6.372
703,HD 186532,LP*,0.9680158298,5.157749518,3.3699,6.48
704,HD 18202,*,0.5090090591,0.7691059743,6.6845,6.55
705,HD 222804,PM*,-0.7934714715,6.212936977,6.8031,6.816
706,HD 16933,PM*,0.8175376788,0.7179930562,17.425,6.90
707,HD 35439,Be*,0.0322265443,1.416976634,2.9321,4.96
708,HD 217992,**,1.409907753,6.026830977,8.1404,6.69
709,HD 223792,*,0.3794790293,6.251202188,6.3428,6.67
710,HD 157379,*,-0.2799213832,4.553580461,11.6973,6.64
711,HD 92056,*,-0.5543635339,2.780370682,2.3608,6.76
712,HD 75470,**,0.3142187929,2.315499386,2.77,6.72
713,HD 167570,**,-0.3585688335,4.784774245,4.7854,6.886
714,HD 64921,PM*,-0.2719014393,2.07517974,16.947,6.99
715,HD 29613,RG*,-0.2506151342,1.218800552,15.5683,5.463
716,HD 105437,*,-1.061982757,3.178297737,1.2493,6.184
717,HD 130917,*,0.4994404767,3.883241123,9.7343,5.80
718,HD 148974,*,-0.8458126307,4.337584092,1.2403,6.91
719,HD 188074,**,0.8268887636,5.198127126,15.3103,6.215
720,HD 4585,*,-0.3152298153,0.2082193208,8.9278,5.693
721,HD 88998,PM*,1.264266336,2.701771336,5.7777,6.99
722,HD 194960,PM*,-0.3119846814,5.362574552,7.5513,6.559
723,HD 214376,PM*,-0.07379347723,5.924329654,14.7149,5.030
724,HD 19134,**,0.4407859358,0.8091555991,6.05,5.47
725,HD 198151,**,0.8121311992,5.439507187,6.7475,6.303
726,HD 31767,V*,0.02991517964,1.302663015,4.2093,4.459
727,HD 160839,*,-0.4866672194,4.639500241,1.4674,6.41
728,HD 194747,*,-0.6005632936,5.360546005,3.544,6.75
729,HD 11965,*,-0.8698100528,0.5068296946,4.8607,6.36
730,CPD-20 6714,*,-0.3618940204,4.723878483,~,6.79
731,HD 89669,*,-0.09393480941,2.708480243,9.9843,6.97
732,HD 20290,*,-0.1530670253,0.8531575322,5.4839,6.61
733,HD 4228,*,-0.8619464436,0.1930331475,8.5323,6.86
734,HD 197963,PM*,0.2814191274,5.439526675,27.8884,4.96
735,HD 32147,PM*,-0.1004205453,1.312560272,113.0715,6.21
736,HD 83506,*,1.261046071,2.543612952,6.8356,5.142
737,HD 59890,*,-0.5403937393,1.966593512,2.3999,4.65
738,HD 4935,SB*,0.2231363642,0.2250666323,11.6338,6.72
739,HD 114155,*,-0.8469148184,3.44466638,3.7999,6.84
740,HD 192342A,PM*,0.4230507194,5.295660058,9.9125,6.681
741,HD 175580,SB*,0.1252367024,4.955654913,7.3181,6.69
742,HD 123999,SB*,0.4379323776,3.710565153,27.484,4.83
743,HD 73471,*,0.05831904578,2.263505686,8.6887,4.43
744,HD 5927A,*,0.8647097843,0.2681294546,2.0122,6.48
745,HD 133880,a2*,-0.7083232379,3.962779075,9.4922,5.79
746,HD 21428,*,0.8640942382,0.9135380188,5.7184,4.735
747,HD 118646,PM*,-0.5159344681,3.572257809,19.6131,5.810
748,HD 74991,*,-0.3273859918,2.298420374,6.523,6.59
749,HD 68273,WR*,-0.8261792881,2.13598849,2.92,1.83
750,HD 120235,*,-0.1193347744,3.614139598,7.8077,6.57
751,HD 222919,*,0.1255207299,6.216931566,7.2504,6.870
752,HD 117193,*,-0.8355905796,3.532558543,7.4983,6.93
753,HD 10840,a2*,-1.064977317,0.4561832819,5.2625,6.79
754,HD 207198,Y*?,1.090142583,5.69364793,0.9978,5.94
755,HD 109409,PM*,-0.7796912639,3.293028587,35.1369,5.76
756,HD 112504,*,-0.1555232849,3.391686253,6.4667,6.91
757,HD 4142,Pu*,0.8353841163,0.1938909211,4.4530,5.648
758,HD 222157,SB*,-0.1505789872,6.188094064,6.5731,6.89
759,HD 24500,*,-0.8258349628,1.010968452,6.0304,6.696
760,HD 162220,*,-0.5333179763,4.674032094,3.8692,6.66
761,HD 20485,*,-1.038706632,0.8503435319,4.0304,6.75
762,HD 138290,*,0.1497334032,4.061921727,19.4905,6.563
763,HD 204149,*,1.470591007,5.553448052,3.2567,6.89
764,HD 100470,PM*,0.642553705,3.027876052,7.6582,6.370
765,HD 210191,*,-0.3232278809,5.798783014,1.3350,5.793
766,HD 27946,dS*,0.3874630722,1.15809979,22.0177,5.264
767,HD 156854,*,-0.9865569418,4.551463924,9.5882,5.763
768,HD 121483,*,-0.8095886433,3.651227775,1.1353,6.944
769,HD 170946,*,-0.8852607766,4.863794587,3.8777,6.78
770,HD 13982,PM*,1.010542518,0.6021303909,7.8978,5.748
771,HD 3489,*,1.052866073,0.1682382192,1.0816,6.769
772,HD 7916,**,-1.158861189,0.3362491636,10.61,6.24
773,HD 43358,**,0.02040499907,1.640171547,13.6168,6.36
774,HD 203155,*,0.6773025324,5.582131413,1.1074,6.99
775,HD 126859,dS*,-0.9796749524,3.795971798,7.1223,6.965
776,HD 162576,a2*,-0.6042478225,4.683007756,3.5661,6.99
777,HD 81025,**,0.9001342931,2.464963335,7.74,6.368
778,HD 201172,*,-1.036860669,5.543203917,5.3833,6.97
779,HD 162724,SB*,-0.6065493559,4.685828932,3.17,5.96
780,NGC 2477,OpC,-0.6725975338,2.060291369,0.665,5.8
781,HD 222493A,PM*,-0.2038658261,6.200930287,9.1816,5.92
782,HD 38656,*,0.6838387164,1.523558814,15.5486,4.500
783,HD 200663,PM*,0.0396151227,5.518540243,7.962,6.349
784,HD 22879,Pe*,-0.05614687487,0.9615357216,38.3253,6.667
785,HD 89962,PM*,0.1141906642,2.718382881,13.2409,6.08
786,HD 50093,*,-0.4499178568,1.791650241,2.1544,6.314
787,Cl Bochum 15,OpC,-0.5853834311,2.007879131,~,6.3
788,HD 191277,PM*,1.082024205,5.260195324,18.5114,5.408
789,HD 89442,*,-0.6423608443,2.699286552,4.4705,6.306
790,HD 90040,*,0.5884993621,2.723339327,6.7945,5.503
791,HD 189613A,*,0.5554773115,5.234470193,6.1806,6.67
792,HD 90861,*,0.4988364006,2.748434832,6.3333,6.90
793,HD 172631,*,0.5384248319,4.887061865,5.0563,6.400
794,HD 36779,*,-0.01807684119,1.457632869,2.7006,6.22
795,HD 90400,PM*,1.040167795,2.73914065,5.4323,6.850
796,HD 63926,*,-0.9856061385,2.043453444,~,6.484
797,HD 130163,*,-0.6968471455,3.873681161,6.3376,6.92
798,HD 186998,PM*,0.4386681151,5.17777726,16.1972,6.653
799,HD 82724,*,-0.3733615236,2.50146943,7.1617,6.68
800,HD 123123,PM*,-0.4656950617,3.692992925,30.8889,3.28
801,HD 9672,PM*,-0.2736041097,0.4128997172,17.4725,5.607
802,HD 24843,PM*,0.6778903621,1.040591844,7.6645,6.313
803,HD 198070,*,0.05770872895,5.444545782,8.3958,6.40
804,HD 64307,*,1.29011104,2.095248748,4.7407,5.347
805,HD 16427,PM*,-1.26273038,0.6707751968,16.6628,6.84
806,HD 171990,PM*,-1.359057361,4.92103814,23.0381,6.392
807,HD 203857,*,0.6519062755,5.60166248,2.6676,6.430
808,HD 104080,*,-0.7999231718,3.138006027,7.4637,6.337
809,HD 79028,SB*,1.072039118,2.418774873,49.4145,5.18
810,HD 18325,PM*,-0.9752762526,0.7606659769,16.3081,6.61
811,HD 176884,*,-0.3359005439,4.987555063,2.9212,6.00
812,HD 79421A,*,-1.011739501,2.406569835,2.4097,6.62
813,HD 54658,*,-0.1054862922,1.874215321,5.0175,6.95
814,HD 52362,SB*,-0.7987955589,1.826903795,7.9822,6.22
815,HD 14044,PM*,-0.1714130133,0.5945656435,19.483,6.91
816,HD 220841,*,1.23369438,6.135692407,9.7844,6.65
817,HD 100359,gD*,-1.289844822,3.018537169,2.4492,6.884
818,HD 48270,*,0.7767675382,1.766171249,3.3512,6.64
819,HD 29712,AB*,-1.083450936,1.207592675,18.31,5.40
820,HD 103932,PM*,-0.4835791835,3.132590125,98.2980,6.964
821,HD 207692,PM*,-0.4061489652,5.722106062,24.9670,6.86
822,HD 26793,*,0.1747320184,1.110918985,7.6822,5.218
823,HD 171394,LP*,-0.3362994246,4.866829463,4.613,6.88
824,HD 20060,**,-1.115502771,0.8292730202,2.7817,6.651
825,HD 216627,PM*,-0.2761253918,5.998042596,23.1451,3.28
826,HD 165524,*,0.3778047906,4.736397193,7.6274,6.179
827,HD 75616,*,0.9143819895,2.326094489,28.004,6.99
828,HD 3345,*,0.9591866446,0.1604614272,3.6522,6.77
829,HD 96832,*,0.9443380735,2.922489602,5.6051,6.88
