#,identifier,typ,DEC (rad),RA (rad),plx (mas),Mag V (mag)
5126,HD 90772,Ce*,-1.005986926,2.737583147,0.4976,4.70
5127,HD 94497,PM*,0.5940192951,2.857844222,9.9418,5.725
5128,HD 187849,LP*,0.67583369,5.194826744,4.571,5.12
5129,HD 101132,PM*,-1.324644397,3.042373739,22.6009,5.637
5130,HD 195069,gD*,0.8619022684,5.353962377,25.6035,5.715
5131,HD 118338,RG*,-0.7704442275,3.565272132,8.6567,5.957
5132,HD 27636,*,0.9064732818,1.15293096,6.0382,6.84
5133,HD 135291,*,-1.110212097,4.003995694,7.5809,4.849
5134,HD 1856,PM*,-0.6852584503,0.09948661134,14.3745,6.75
5135,HD 130321,*,0.03552989283,3.872131572,8.8897,6.80
5136,HD 6613,SB*,0.3517027326,0.2928653411,3.3491,6.99
5137,HD 39045,LP?,0.5606816462,1.533399044,3.254,6.26
5138,HD 45145,PM*,-0.640671329,1.675589523,10.1487,5.619
5139,HD 203291,V*,0.1283603153,5.589767884,3.6305,5.798
5140,HD 101927,*,-0.9183863155,3.069842301,4.5006,6.83
5141,HD 16786,*,0.009529827797,0.7046953615,5.2977,6.70
5142,HD 147608,*,0.9082520162,4.277844754,8.7097,6.62
5143,HD 27371,**,0.2727538081,1.133562546,21.6645,3.65
5144,HD 159908,*,0.2410875237,4.610344615,10.2287,6.84
5145,HD 157617,*,0.1545064971,4.555135966,3.4109,5.763
5146,HD 94607,PM*,-0.7333550348,2.856758589,8.8388,6.96
5147,HD 4385,*,0.8184509464,0.2034624171,4.0939,6.86
5148,HD 32301,**,0.3768159082,1.322504807,18.3851,4.615
5149,HD 31278,SB*,0.93815116,1.297157628,9.3782,4.433
5150,HD 2455,PM*,-0.5068482315,0.123199427,7.7612,6.73
5151,HD 77640,*,-0.09025730768,2.372441759,4.2689,6.816
5152,HD 73316,*,0.1671084818,2.26057745,7.9645,6.531
5153,* eta Oph A,PM*,-0.2744555172,4.495871001,~,2.463
